Star	HD	RA	dec	Vmag	Vmagerr	par	parerr	source	teff	tefferr	logg	loggerr	logglc	logglcerr	vt	vterr	feh	feherr	mass	masserr	Author	link	flag	updated	Comment	tmp
11 Com	107383	12 20 43.02	+17 47 34.33	4.74	0.02	11.25	0.22	Simbad	4830	79	2.61	0.13	NULL	NULL	1.7	0.1	-0.34	0.06	2	0.29	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
11 UMi	136726	15 17 05.88	+71 49 26.04	5.02	NULL	8.19	0.19	Simbad	4255	88	1.8	0.26	NULL	NULL	1.79	0.08	-0.13	0.04	3.4	0.77	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
14 And	221345	23 31 17.41	+39 14 10.30	5.22	NULL	12.63	0.27	Simbad	4709	37	2.44	0.12	NULL	NULL	1.51	0.03	-0.29	0.03	2.38	0.29	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
14 Her	145675	16 10 24.31	+43 49 03.52	6.67	NULL	56.91	0.34	Simbad	5311	87	4.42	0.18	NULL	NULL	0.92	0.1	0.43	0.08	0.95	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
16 Cyg B	186427	19 41 51.97	+50 31 03.08	6.2	NULL	47.14	0.27	Simbad	5772	25	4.4	0.07	NULL	NULL	1.07	0.04	0.08	0.04	1	0.07	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
18 Del	199665	20 58 25.93	+10 50 21.42	5.52	NULL	13.28	0.31	Simbad	5076	38	3.08	0.1	NULL	NULL	1.32	0.04	0	0.03	2.33	0.05	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
1SWASP J1407	NULL	14 07 48.00	-39 45 43.00	12.4	NULL	NULL	NULL	Spec	4400	100	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kenworthy et al. 2014	http://adsabs.harvard.edu/abs/2015MNRAS.446..411K	0	2015-05-28	NULL	NULL
24 Sex	90043	10 23 28.37	-00 54 08.09	6.44	0.01	12.91	0.38	Simbad	5069	62	3.4	0.13	NULL	NULL	1.27	0.07	-0.01	0.05	1.81	0.08	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
30 Ari B	16232	02 36 57.74	+24 38 53.03	7.09	NULL	24.52	0.68	Simbad	6284	98	4.35	0.2	NULL	NULL	NULL	NULL	0.12	0.08	1.22	0.08	Tsantaki et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.6765T	1	2014-08-06	NULL	NULL
38 Vir	111998	12 53 11.16	-03 33 11.16	6.11	NULL	30.55	0.3	Simbad	6557	96	4.19	0.11	NULL	NULL	NULL	NULL	0.07	NULL	NULL	NULL	Borgniet et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.08257	0	2016-09-12	NULL	NULL
4 UMa	73108	08 40 12.81	+64 19 40.57	4.6	NULL	12.74	0.26	Simbad	4531	52	2.32	0.14	NULL	NULL	1.54	0.04	-0.19	0.03	2.51	0.34	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
42 Dra	170693	18 25 59.13	+65 33 48.52	4.83	NULL	10.36	0.2	Simbad	4452	42	2.09	0.16	NULL	NULL	1.5	0.04	-0.41	0.03	2.77	0.42	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
47 Uma	95128	10 59 27.97	+40 25 48.92	5.04	0.05	71.11	0.25	Simbad	5954	25	4.44	0.1	NULL	NULL	1.3	0.04	0.06	0.03	1.04	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
51 Peg	217014	22 57 27.98	+20 46 07.79	5.46	0.05	64.07	0.38	Simbad	5804	36	4.42	0.07	NULL	NULL	1.2	0.05	0.2	0.05	1.04	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
55 Cnc	75732	08 52 35.81	+28 19 50.95	5.95	0.05	81.03	0.75	Simbad	5279	62	4.37	0.18	NULL	NULL	0.98	0.07	0.33	0.07	0.93	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
